id,name,search_query,category,max_price,min_price
1,PS5 Slim Digital,Console PlayStation 5 Slim Digital,Consoles,5500,2500
2,PS5 Slim Standard (Disco),Console PlayStation 5 Slim Disco,Consoles,6000,2500
3,PS5 Pro,Console PlayStation 5 Pro,Consoles,10000,5000
4,Xbox Series X 1TB,Console Xbox Series X 1TB,Consoles,5000,2000
5,Xbox Series S 512GB,Console Xbox Series S 512GB,Consoles,3500,1200
6,Controle DualSense PS5 Branco,Controle DualSense PlayStation 5 Branco,Controles,700,200
7,Controle DualSense Edge PS5,Controle DualSense Edge PlayStation 5,Controles,1800,700
8,Controle Xbox Sem Fio Carbon Black,Controle Xbox Sem Fio Carbon Black,Controles,700,200
9,Controle Xbox Sem Fio Robot White,Controle Xbox Sem Fio Robot White,Controles,700,200
10,Volante Logitech G29 PS5 PC,Volante Logitech G29 Driving Force,Volantes,2500,800
11,Volante Logitech G923 PS5 PC,Volante Logitech G923 TrueForce PS5,Volantes,3500,1200
12,Headset Logitech G435 Sem Fio,Headset Logitech G435 Lightspeed,Headsets & Audio,600,200
13,Headset Logitech G PRO X 2,Headset Logitech G PRO X 2 Lightspeed,Headsets & Audio,2500,700
14,PlayStation Portal Remote Player,PlayStation Portal Remote Player PS5,Acessorios & Hardware,2000,700
15,PlayStation VR2,PlayStation VR2 PS5,Acessorios & Hardware,4000,1500
